x,y,conf,weight
80222.74628632478,904.566482336178,0.07257368647104293,351
88751.10899999998,628.6365499999956,0.07039871506622149,160
91010.29368045114,7536.516014285709,0.07037572940169043,133
85990.30277853878,2985.129843378991,0.0658955627255786,219
83260.96024538744,2830.5328830258263,0.06587438789123606,271
78357.19585470439,10598.791499000828,0.06138178153403239,1201
91750.11197619048,22637.111252380946,0.05691643934031682,42
68258.64372222222,-3108.32525555556,0.053164941284598574,9
71589.05307894737,9788.896966666662,0.04354784026815507,57
81429.59330616737,5333.684044493387,0.0431352429640544,227
80156.69177027026,13906.014083783777,0.04287615287491487,74
73451.22919230768,4556.07645384615,0.040741932345498263,130
74743.71316666667,22111.292799999996,0.04040409638522154,48
84883.88985443038,8190.742958227842,0.03940257512340971,158
76175.59675773194,5488.72514536082,0.03924421867212886,97
86456.21316666665,6415.633077777773,0.0386868568594865,72
86905.07680303027,7652.438633333329,0.038501633387292684,264
86348.88078338762,19618.240071986966,0.038133220728046424,307
79206.29329487174,21615.392693162386,0.03705543933457916,117
82858.43642537313,23234.91686716417,0.036249244184966924,67
65466.4215,8026.230299999996,0.03377745920559391,25
91569.234,17898.792799999996,0.031386943213874474,16
78805.02615116279,4998.974486046507,0.02735528941293312,86
74433.37271951219,-142.40384634146778,0.025899127855465363,41
89947.9599615385,12684.409787179482,0.02580617007632286,39
82739.81435714285,15940.266014285708,0.025247650831754852,140
70231.81623684207,4917.186440350872,0.0228810045168358,114
64425.707214285714,3141.6180551020366,0.022833217296521276,49
80761.4215,-3952.7697000000044,0.02079890010645613,18
65442.671499999975,25386.813633333328,0.014734031005597595,12
